,HMDB_ID,Metabolite,Gene,Database,Evidence
24,HMDB0006483,D-Aspartate,Slc1a2 / Slc1a3,PMID: 31993307,PMID: 31993307
25,HMDB0000192,L-Cystine,Slc16a10 / Slc3a1 / Slc3a2 / Slc7a11 / Slc7a9,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE,HMDB / PMID: 31993307 / PMID: 34511324 / RESOLUTE
26,HMDB0015532,Zinc,Slc30a1 / Slc30a10 / Slc30a2 / Slc30a4 / Slc30a5 / Slc30a6 / Slc30a8 / Slc39a1 / Slc39a10 / Slc39a2 / Slc39a3 / Slc39a4 / Slc39a6 / Slc39a7 / Slc39a8 / Slc41a1,PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB,PMID: 31993307 / PMID: 34511324 / RESOLUTE / TransportDB
27,HMDB0000547,Magnesium,Slc41a1 / Slc41a2 / Slc41a3,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
28,HMDB0000692 / HMDB0015531,Iron,Cubn / Slc11a1 / Slc11a2 / Slc39a1 / Slc39a2 / Slc3a2 / Slc40a1 / Slc41a1 / Slc41a2 / Slc46a1,HMDB / MEBOCOST / PMID: 31993307 / PMID: 34511324 / TransportDB,23506870 / 25209728; 30852438; 27667161; 24644245; 21875943; 20675164; 23506870; 21199650; 33787609; 17181986; 14757427; 15338274; 27773819; 23922661; 29212168; 24121729; 28219768; 28978826; 21175851 / HMDB / PMID: 31993307 / PMID: 34511324 / TransportDB
29,HMDB0000657,Copper,Slc31a1 / Slc31a2 / Slc41a1,PMID: 31993307 / TransportDB,PMID: 31993307 / TransportDB
30,HMDB0000608,Cobalt,Slc41a1 / Slc41a2,PMID: 31993307,PMID: 31993307
31,HMDB0003638,Cadmium,Slc39a8 / Slc41a1,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
32,HMDB0004142,Barium,Slc41a2,PMID: 31993307,PMID: 31993307
33,HMDB0002457,Nickel,Slc41a2,PMID: 31993307,PMID: 31993307
34,HMDB0001333,Manganese,Slc11a1 / Slc39a8 / Slc41a2,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
35,HMDB0000201,Acetyl-L-Carnitine,Slc22a5 / Slc22a8,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
36,HMDB0000062,L-Carnitine,Slc16a9 / Slc22a16 / Slc22a21 / Slc22a4 / Slc22a5 / Slc22a8 / Slco1b2,HMDB / MEBOCOST / PMID: 28666119 / PMID: 31993307 / RESOLUTE,HMDB / PMID: 28666119 / PMID: 31993307 / RESOLUTE / Recon2
37,HMDB0000588,Sodium,Slc10a1 / Slc10a2 / Slc12a1 / Slc12a2 / Slc12a3 / Slc16a10 / Slc1a5 / Slc22a16 / Slc22a4 / Slc22a5 / Slc22a6 / Slc22a7 / Slc28a3 / Slc29a1 / Slc38a3 / Slc4a10 / Slc4a4 / Slc4a5 / Slc4a7 / Slc4a8 / Slc5a1 / Slc5a3 / Slc5a5 / Slc5a7 / Slc6a2 / Slc6a4 / Slc7a8,HMDB / MEBOCOST / PMID: 31993307 / RESOLUTE,HMDB / PMID: 31993307 / RESOLUTE / Recon2
38,HMDB0000595,Hydrogen carbonate,Slc4a10 / Slc4a4 / Slc4a5 / Slc4a7,HMDB / PMID: 31993307,HMDB / PMID: 31993307
39,Unknown,Eicosanoid,Slco2a1,PMID: 31993307,PMID: 31993307
40,HMDB0001139 / HMDB0001220,Prostaglandins,Slc22a1 / Slc22a2 / Slc22a7 / Slco1b2 / Slco2a1,HMDB / MEBOCOST / PMID: 31993307,HMDB / PMID: 31993307 / Recon2
41,HMDB0001149,5-Aminolevulinic acid,Slc15a2 / Tspo2,MEBOCOST / PMID: 31993307,31989647 / PMID: 31993307
42,Unknown,Dipeptides,Slc15a2 / Slc15a3,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
43,Unknown,Protons,Slc15a2,PMID: 31993307,PMID: 31993307
44,Unknown,Tripeptides,Slc15a2 / Slc15a3,PMID: 31993307 / RESOLUTE,PMID: 31993307 / RESOLUTE
45,HMDB0000033,Carnosine,Slc15a4,PMID: 31993307,PMID: 31993307
46,HMDB0000042,Acetate,Slc16a1 / Slc16a4 / Slco2b1,HMDB / PMID: 34511324,HMDB / PMID: 34511324
47,HMDB0000687,L-Leucine,Slc1a5 / Slc3a2 / Slc43a1 / Slc43a2 / Slc43a3 / Slc7a5 / Slc7a8,HMDB / MEBOCOST / PMID: 34511324 / RESOLUTE,31997805; Recon2 / 33953707 / 33953707; 30071532; 30470977 / HMDB / PMID: 34511324 / RESOLUTE / Recon2
48,HMDB0000517,L-Arginine,Gprc6a / Slc36a4 / Slc38a4 / Slc3a1 / Slc6a8 / Slc7a1 / Slc7a2 / Slc7a3 / Slc7a5 / Slc7a8 / Slc7a9,MEBOCOST / PMID: 34511324 / PMID: 39420221 / RESOLUTE,33209975; 17325243; 33639836; 23831616; 22144986; 19067360; Recon2 / PMID: 34511324 / PMID: 39420221 / RESOLUTE / Recon2
49,Unknown,Fatty acid,Cd36 / Cpt1a / Fabp4 / Fabp5 / Msr1 / Slc27a1,PMID: 34511324,PMID: 34511324
50,HMDB0000684,Kynurenine,Slc36a4 / Slc7a8,PMID: 34511324,PMID: 34511324
51,HMDB0000064,Creatine,Slc16a12 / Slc22a5 / Slc6a8,HMDB / MEBOCOST / PMID: 34511324,23578822 / HMDB / PMID: 34511324
52,HMDB0000112,GABA,Slc6a1 / Slc6a11 / Slc6a12 / Slc6a13 / Slc6a6 / Slc6a8,MEBOCOST / PMID: 34511324,PMID: 34511324 / https://en.wikipedia.org/wiki/GABA_transporter
53,HMDB0000097,Choline,Slc22a1 / Slc22a2 / Slc22a21 / Slc22a5 / Slc44a1 / Slc44a2 / Slc44a3 / Slc44a4 / Slc5a7,HMDB / MEBOCOST / PMID: 34511324,HMDB / PMID: 34511324 / Recon2
54,Unknown,cGAMP,Slc46a2,PMID: 34511324,PMID: 34511324
55,Unknown,Triiodothyronine,Slc16a2,PMID: 28666119,PMID: 28666119
56,HMDB0000248,Thyroxine,Slc16a2 / Slco1b2 / Slco1c1,HMDB / MEBOCOST / PMID: 28666119,HMDB / PMID: 28666119 / Recon2
57,HMDB0000159,L-Phenylalanine,Slc16a10 / Slc43a1 / Slc43a2 / Slc43a3 / Slc7a5 / Slc7a8,HMDB / MEBOCOST / PMID: 28666119 / RESOLUTE,32377929 / HMDB / PMID: 28666119 / RESOLUTE / Recon2
58,HMDB0000158,L-Tyrosine,Slc16a10 / Slc16a2 / Slc43a3 / Slc7a5,HMDB / MEBOCOST / PMID: 28666119 / RESOLUTE,32377929 / HMDB / PMID: 28666119 / RESOLUTE / Recon2
59,HMDB0000929,L-Tryptophan,Slc16a10 / Slc16a2 / Slc36a4,HMDB / MEBOCOST / PMID: 28666119,HMDB / PMID: 28666119 / Recon2
60,Unknown,beta-D-hydroxybutyrate,Slc16a6,PMID: 28666119,PMID: 28666119
61,HMDB0006247,25-Hydroxycholesterol,Abca1,MEBOCOST,16611739
62,HMDB0000030,Biotin,Slc5a6,MEBOCOST,27084392
63,HMDB0000067,Cholesterol,Abcb1a / Abcg3 / Cd36,HMDB / MEBOCOST,21763723; 32531545; 16133421; 10383407; 23247049; 15949682; 12145296; 28928671; 29883404; 34584385; 19718657; 29593722; 25174330; 27890613; 32684173; 18311054; 24371122; 21262584; 16959872; 20338238; 25250848; 23099443; 15168018; 16299001; 26828064; 19147991; 10946357; 23880196; 19016618; 23422832; 21474828; 28122883; 30702457; 21272192; 15136056; 18331615; 17464999; 32058595; 18276752; 31988148; 34603769; 17291449; 20170635; 16503643; 10713080; 10625497; 21674150; 26153221; 12488595; 24733016; 29533793; 12547883; 26582580; 31967154; 28634191; 20112301; 19937569; 21181286; 20360851; 33457418; 21217164; 16123174; 24515116; 18402819; 19028791; 27323079; 18305138; 33211179; 21034810; 11718687; 24162852; 18772361; 32308181; 25703059; 22858201; 28555086; 26759003; 28965954; 16517147; 32982800; 15345670; 19436068; 26832365; 21190831; 25855981; 32952497; 19074161 / HMDB
64,HMDB0000073,Dopamine,Slc22a1 / Slc22a2 / Slc22a21 / Slc22a3 / Slc22a5 / Slc6a3,HMDB / MEBOCOST,30967134; 12707943; 27217152; 28924877; 17466074 / HMDB / Recon2
65,HMDB0001311,D-Lactate,Slc16a1 / Slc16a3 / Slc16a7,HMDB / MEBOCOST,32144120; 22428047 / HMDB
66,HMDB0001429,Phosphate,Atp7a / Atp7b / Slc17a4 / Slc20a1 / Slc20a2,HMDB / MEBOCOST / RESOLUTE,30721528 / HMDB / RESOLUTE
67,HMDB0000259,Serotonin,Slc22a1 / Slc22a2 / Slc6a4,HMDB / MEBOCOST,33868590; 31342534; 16251523; 25012842 / HMDB / Recon2
68,HMDB0000235,Thiamine,Slc19a1 / Slc19a2 / Slc19a3,MEBOCOST,28284395 / 28284395; 32498429
69,HMDB0000108,Ethanol,Chrna5 / Slc29a1,HMDB / MEBOCOST,29944862 / HMDB
70,HMDB0000121,Folic acid,Abcc3 / Abcc4 / Abcg3 / Folr1 / Folr2 / Slc19a1 / Slc22a6 / Slc25a32 / Slc46a1,HMDB / MEBOCOST,28284395 / 32581311; Recon2 / HMDB
71,HMDB0003178,Heme,Flvcr1 / Lrp1 / Slc46a1 / Trpv6,MEBOCOST / RESOLUTE,27142151 / RESOLUTE / Recon2
72,HMDB0001358,Retinal,Stra6,MEBOCOST,27830500
73,HMDB0000244,Riboflavin,Slc22a6 / Slc52a2 / Slc52a3,HMDB / MEBOCOST / RESOLUTE,30446350; 29122468 / 31500345; 22864630 / HMDB / RESOLUTE
74,HMDB0000305,Vitamin A,Rbp1 / Rbp2 / Rbp4 / Stra6,MEBOCOST,21782034; 19112531; 25481334; 22665496; 27830501; 32597569; 21704730; 23591992; 26729422; 31956331; 26373900; Recon2 / Recon2
75,HMDB0001256,Spermine,Slc22a1 / Slc22a4,MEBOCOST,HMDB / HMDB; Recon2
76,HMDB0001414,Putrescine,Slc22a4,MEBOCOST,HMDB
77,HMDB0000254,Succinic acid,Slc13a5,MEBOCOST,31882442
78,HMDB0000094,Citric acid,Slc13a5 / Slco2b1,HMDB / MEBOCOST,33597751 / HMDB
79,HMDB0000134,Fumaric acid,Slc13a5,MEBOCOST,31882442
80,HMDB0000156,Malic acid,Slc13a5 / Slc1a3,MEBOCOST,31882442 / https://en.wikipedia.org/wiki/Excitatory_amino_acid_transporter_1
81,HMDB0000883,L-Valine,Slc16a10 / Slc43a1 / Slc43a2,HMDB / MEBOCOST,31997805; Recon2 / HMDB / Recon2
82,HMDB0000172,L-Isoleucine,Slc16a10 / Slc43a1 / Slc43a2,HMDB / MEBOCOST,31997805; Recon2 / HMDB / Recon2
83,HMDB0000034,Adenine,Slc28a3 / Slc29a2 / Slc29a3 / Slc35f5,MEBOCOST,33972798 / Recon2
84,HMDB0000182,L-Lysine,Slc38a4 / Slc3a1 / Slc7a1 / Slc7a2 / Slc7a3 / Slc7a9,MEBOCOST / RESOLUTE,RESOLUTE / Recon2
85,HMDB0000214,L-Ornithine,Slc3a1 / Slc7a1 / Slc7a2 / Slc7a3 / Slc7a9,MEBOCOST / RESOLUTE,RESOLUTE / Recon2
86,HMDB0001043,Arachidonic acid,Slc27a1 / Slc27a5 / Slc27a6 / Slco2a1,HMDB / MEBOCOST / RESOLUTE,HMDB / RESOLUTE / Recon2
87,HMDB0001264,Dehydroascorbic acid,Slc2a1 / Slc2a3 / Slc2a4,MEBOCOST,Recon2
88,HMDB0000050,Adenosine,Slc29a1 / Slc29a2,MEBOCOST,Recon2
89,HMDB0000216,Norepinephrine,Slc22a1 / Slc22a2 / Slc22a3 / Slc22a5 / Slc6a2,HMDB / MEBOCOST,HMDB / Recon2
90,HMDB0000660,D-Fructose,Slc2a2 / Slc2a5 / Slc2a7 / Slc2a8 / Slc5a10 / Slc5a9,MEBOCOST / RESOLUTE,RESOLUTE / Recon2
91,HMDB0000296,Uridine,Slc29a1 / Slc29a2,MEBOCOST,Recon2
92,HMDB0000220,Palmitic acid,Slc27a1 / Slc27a5,HMDB / MEBOCOST,HMDB / Recon2
93,HMDB0000195,Inosine,Slc29a1 / Slc29a2,MEBOCOST,Recon2
94,HMDB0000089,Cytidine,Slc29a1 / Slc29a2,MEBOCOST,Recon2
95,HMDB0000207,Oleic acid,Slc27a5,MEBOCOST,Recon2
96,HMDB0000870,Histamine,Slc22a2 / Slc22a21 / Slc22a3 / Slc22a5,MEBOCOST,Recon2
97,HMDB0000265,Liothyronine,Slc16a2,MEBOCOST,Recon2
98,HMDB0003550,Calcidiol,Cubn / Gc / Lrp2,MEBOCOST,Recon2
99,HMDB0000181,L-Dopa,Slc15a1 / Slc16a10,HMDB / MEBOCOST,HMDB / Recon2
100,HMDB0001396,5-Methyltetrahydrofolic acid,Folr1,MEBOCOST,Recon2
101,HMDB0000895,Acetylcholine,Slc22a1,MEBOCOST,Recon2
102,HMDB0000012,Deoxyuridine,Slc29a2,MEBOCOST,Recon2
103,HMDB0000133,Guanosine,Slc29a1 / Slc29a2,MEBOCOST,Recon2
104,HMDB0000157,Hypoxanthine,Slc29a2,MEBOCOST,Recon2
105,HMDB0000273,Thymidine,Slc22a1 / Slc28a3 / Slc29a1 / Slc29a2,HMDB / MEBOCOST,HMDB / Recon2
106,HMDB0000673,Linoleic acid,Slc27a5,MEBOCOST,Recon2
107,HMDB0000300,Uracil,Slc29a2,MEBOCOST,Recon2
108,HMDB0000101,Deoxyadenosine,Slc29a2,MEBOCOST,Recon2
109,HMDB0000085,Deoxyguanosine,Slc29a2,MEBOCOST,Recon2
110,HMDB0000163,D-Maltose,Slc2a3,MEBOCOST,Recon2
111,HMDB0000876,Vitamin D3,Cd36 / Got2,MEBOCOST,Recon2
112,HMDB0000294,Urea,Slc14a1 / Slc14a2 / Slc5a1 / Slc5a5,HMDB / MEBOCOST,HMDB / Recon2
113,HMDB0000071,Deoxyinosine,Slc29a2,MEBOCOST,Recon2
114,HMDB0000014,Deoxycytidine,Slc29a2,MEBOCOST,Recon2
115,HMDB0002925,Dihomo-gamma-linolenic acid,Slc27a5,MEBOCOST,Recon2
116,HMDB0000262,Thymine,Slc29a2,MEBOCOST,Recon2
117,HMDB0000806,Myristic acid,Slc27a1 / Slc27a2,HMDB / MEBOCOST,HMDB / Recon2
118,HMDB0000827,Stearic acid,Slc27a1 / Slc27a5,HMDB / MEBOCOST,HMDB / Recon2
119,HMDB0003073,gamma-Linolenic acid,Slc27a5,MEBOCOST,Recon2
120,HMDB0001388,alpha-Linolenic acid,Slc27a5,MEBOCOST,Recon2
121,HMDB0000132,Guanine,Slc29a2,MEBOCOST,Recon2
122,HMDB0001178,Adenosine diphosphate ribose,Cd38,MEBOCOST,Recon2
123,HMDB0000043,Betaine,Slc6a12,MEBOCOST,32213983
124,HMDB0000586,Potassium,Abcc8,MEBOCOST,https://en.wikipedia.org/wiki/ABCC8; 23226049; 24399968; 22050960; 24700710
125,HMDB0000719,L-Homoserine,Slc43a1,MEBOCOST,Recon2
126,HMDB0000492,Chloride ion,Slc12a1 / Slc12a2 / Slc12a4 / Slc12a5 / Slc12a6 / Slc12a7 / Slc17a1 / Slc4a10 / Slc5a7,HMDB / MEBOCOST,HMDB / Recon2
127,HMDB0003229,Palmitoleic acid,Slc27a2,MEBOCOST,Recon2
128,HMDB0012238,Iodide,Slc5a8,MEBOCOST,Recon2
129,HMDB0002003,Tetracosanoic acid,Slc27a2,MEBOCOST,Recon2
130,HMDB0001893,alpha-Tocopherol,Npc1l1 / Scarb1,MEBOCOST,Recon2
131,HMDB0000573,Elaidic acid,Slc27a2,MEBOCOST,Recon2
132,HMDB0002086,Adenosylcobalamin,Amn / Cubn,MEBOCOST,Recon2
133,HMDB0000630,Cytosine,Slc29a2,MEBOCOST,Recon2
134,HMDB0006543,Debrisoquine,Slc22a2,MEBOCOST,Recon2
135,HMDB0011733,Glycyl-glycine,Slc15a1,MEBOCOST,Recon2
136,HMDB0000019,alpha-Ketoisovaleric acid,Slc16a1 / Slc16a3 / Slc16a7,HMDB,HMDB
137,HMDB0000036,Taurocholic acid,Abcb11 / Abcb1a / Abcc1 / Abcc2 / Abcc3 / Abcc4 / Abcg3 / Gm6614 / Slc10a1 / Slc10a2 / Slc16a1 / Slc22a1 / Slc22a6 / Slco1b2 / Slco1c1 / Slco2b1 / Slco3a1 / Slco4a1,HMDB,HMDB
138,HMDB0000054,Bilirubin,Abcc2 / Slco1b2,HMDB,HMDB
139,HMDB0000056,beta-Alanine,Slc16a10,HMDB,HMDB
140,HMDB0000058,Cyclic AMP,Abcc4 / Abcc5 / Slc22a6 / Slc22a7 / Slc4a7 / Slco4c1,HMDB,HMDB
141,HMDB0000063,Cortisol,Abcb1a / Abcg3 / Gm6614,HMDB,HMDB
142,HMDB0000077,Dehydroepiandrosterone,Slc22a7 / Slco1b2,HMDB,HMDB
143,HMDB0000125,Glutathione,Abcc1 / Abcc2 / Abcc3 / Abcc4 / Abcc5,HMDB,HMDB
144,HMDB0000131,Glycerol,Abcb1a,HMDB,HMDB
145,HMDB0000145,Estrone,Slc22a7 / Slco1b2,HMDB,HMDB
146,HMDB0000151,Estradiol,Abcb1a / Abcg3 / Gm6614 / Slc22a1 / Slc22a2 / Slc22a3 / Slco1b2 / Slco2b1,HMDB,HMDB
147,HMDB0000153,Estriol,Abcb1a / Gm6614,HMDB,HMDB
148,HMDB0000234,Testosterone,Abcb1a / Abcg3 / Gm6614 / Slc10a1 / Slc22a1 / Slc22a3 / Slc22a4 / Slc22a7,HMDB,HMDB
149,HMDB0000308,3b-Hydroxy-5-cholenoic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
150,HMDB0000326,"1b,3a,12a-Trihydroxy-5b-cholanoic acid",Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
151,HMDB0000359,"3alpha,7alpha-Dihydroxycoprostanic acid",Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
152,HMDB0000464,Calcium,Cubn / Slc22a6,HMDB,HMDB
153,HMDB0000482,Caprylic acid,Slc22a6,HMDB,HMDB
154,HMDB0000518,Chenodeoxycholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
155,HMDB0000538,Adenosine triphosphate,Atp7a / Atp7b / Tap1,HMDB,HMDB
156,HMDB0000601,Coprocholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
157,HMDB0000619,Cholic acid,Abcb11 / Abcb1a / Abcc1 / Abcc2 / Abcc3 / Abcc4 / Gm6614 / Slc10a1 / Slc10a2 / Slc22a7 / Slco1b2 / Slco4a1,HMDB,HMDB
158,HMDB0000626,Deoxycholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
159,HMDB0000686,Isoursodeoxycholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
160,HMDB0000733,Hyodeoxycholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
161,HMDB0000761,Lithocholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
162,HMDB0000826,Pentadecanoic acid,Slc27a1,HMDB,HMDB
163,HMDB0000907,Sulfolithocholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
164,HMDB0000917,Ursocholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
165,HMDB0000946,Ursodeoxycholic acid,Abcb11 / Abcc3 / Gm6614 / Slc10a1 / Slc10a2 / Slco1b2 / Slco4a1,HMDB,HMDB
166,HMDB0001198,Leukotriene C4,Abcc1,HMDB,HMDB
167,HMDB0001341,ADP,Atp7a / Atp7b / Slc17a3,HMDB / RESOLUTE,HMDB / RESOLUTE
168,HMDB0001425,Estrone sulfate,Slc22a7 / Slco1b2 / Slco1c1 / Slco4a1,HMDB,HMDB
169,HMDB0001562,Folinic acid,Abcc2 / Abcc3 / Abcc4,HMDB,HMDB
170,HMDB0001830,Progesterone,Abcb11 / Abcb1a / Abcc1 / Slc10a1 / Slc22a1 / Slc22a2 / Slc22a3,HMDB,HMDB
171,HMDB0001852,all-trans-Retinoic acid,Crabp1 / Crabp2,HMDB,HMDB
172,HMDB0001917,Digoxin,Slco1b2 / Slco4c1,HMDB,HMDB
173,HMDB0001926,17a-Ethynylestradiol,Abcb11 / Abcb1a / Abcc2 / Slc10a1,HMDB,HMDB
174,HMDB0002111,Water,Aqp1 / Aqp2 / Aqp3 / Aqp4 / Aqp5 / Aqp6 / Aqp7 / Aqp8 / Aqp9 / Atp7a / Atp7b,HMDB / TransportDB,HMDB / TransportDB
